# GENERATED convenience view (thin projection) by gene_pathway_build.py: pathway_group is the IDF-derived primary AD bucket (specificity-weighted argmax over matched GO/Reactome/OpenTargets terms; ties broken by AD priority). The ontology annotations in gene_pathways_api.jsonl are the truth; this single-bucket column is a derived convenience. Do not hand-edit.
gene_symbol,pathway_group,notes
ADAM10,amyloid,primary=amyloid IDF-derived (score=6.61); go:metalloendopeptidase activity involved in amyloid precursor protein catabolic process (idf=6.61); go:negative regulation of amyloid precursor protein biosynthetic process (idf=5.92); go:amyloid precursor protein catabolic process (idf=4.90) (+3 more) | captured 63 GO / 16 Reactome / 16 OT
APH1A,amyloid,primary=amyloid IDF-derived (score=5.36); go:gamma-secretase complex (idf=5.36); go:amyloid precursor protein metabolic process (idf=5.22); go:amyloid-beta formation (idf=5.11) (+3 more) | captured 26 GO / 13 Reactome / 13 OT
APH1B,amyloid,primary=amyloid IDF-derived (score=5.36); go:gamma-secretase complex (idf=5.36); go:amyloid-beta formation (idf=5.11); go:amyloid precursor protein catabolic process (idf=4.90) (+2 more) | captured 16 GO / 13 Reactome / 13 OT
DAPL1,amyloid,"primary=amyloid IDF-derived (score=6.20); go:negative regulation of CD8-positive, alpha-beta T cell activation (idf=6.20) | captured 9 GO / 0 Reactome / 0 OT"
ITM2B,amyloid,primary=amyloid IDF-derived (score=5.92); go:negative regulation of amyloid precursor protein biosynthetic process (idf=5.92); reactome:Amyloid fiber formation (idf=4.08); open_targets:Amyloid fiber formation (idf=4.08) (+1 more) | captured 14 GO / 1 Reactome / 1 OT
KLK6,amyloid,primary=amyloid IDF-derived (score=5.22); go:amyloid precursor protein metabolic process (idf=5.22) | captured 23 GO / 0 Reactome / 0 OT
MAPK8IP1,amyloid,"primary=amyloid IDF-derived (score=6.61); go:regulation of CD8-positive, alpha-beta T cell proliferation (idf=6.61) | captured 32 GO / 0 Reactome / 0 OT"
MME,amyloid,primary=amyloid IDF-derived (score=5.92); go:amyloid-beta metabolic process (idf=5.92); go:amyloid-beta clearance by cellular catabolic process (idf=5.51); go:amyloid-beta clearance (idf=5.00) | captured 58 GO / 4 Reactome / 4 OT
MMP13,amyloid,primary=amyloid IDF-derived (score=5.22); go:response to amyloid-beta (idf=5.22) | captured 18 GO / 5 Reactome / 5 OT
PFDN1,amyloid,primary=amyloid IDF-derived (score=5.69); go:negative regulation of amyloid fibril formation (idf=5.69); go:amyloid-beta binding (idf=3.84) | captured 9 GO / 1 Reactome / 1 OT
PSEN2,amyloid,primary=amyloid IDF-derived (score=5.36); go:gamma-secretase complex (idf=5.36); go:amyloid-beta formation (idf=5.11); go:amyloid precursor protein catabolic process (idf=4.90) | captured 35 GO / 12 Reactome / 12 OT
PSENEN,amyloid,primary=amyloid IDF-derived (score=5.36); go:gamma-secretase complex (idf=5.36); go:amyloid precursor protein metabolic process (idf=5.22); go:amyloid-beta formation (idf=5.11) (+3 more) | captured 24 GO / 13 Reactome / 13 OT
RTN2,amyloid,primary=amyloid IDF-derived (score=4.74); go:negative regulation of amyloid-beta formation (idf=4.74) | captured 21 GO / 0 Reactome / 0 OT
SHH,amyloid,"primary=amyloid IDF-derived (score=6.61); go:CD4-positive or CD8-positive, alpha-beta T cell lineage commitment (idf=6.61); go:positive regulation of alpha-beta T cell differentiation (idf=6.61) | captured 104 GO / 11 Reactome / 11 OT"
SLC2A13,amyloid,primary=amyloid IDF-derived (score=4.82); go:positive regulation of amyloid-beta formation (idf=4.82) | captured 24 GO / 1 Reactome / 1 OT
TSPAN14,amyloid,primary=amyloid IDF-derived (score=4.08); reactome:Amyloid fiber formation (idf=4.08); open_targets:Amyloid fiber formation (idf=4.08) | captured 12 GO / 2 Reactome / 2 OT
TSPAN5,amyloid,primary=amyloid IDF-derived (score=4.08); reactome:Amyloid fiber formation (idf=4.08); open_targets:Amyloid fiber formation (idf=4.08) | captured 10 GO / 1 Reactome / 1 OT
