chemical_ui,chemical_term,gene_symbol,notes
D001057,Apolipoproteins E,APOE,ApoE protein descriptor; product of APOE.
D053327,Apolipoprotein E4,APOE,ApoE4 isoform; product of the APOE e4 allele.
D016875,tau Proteins,MAPT,tau protein descriptor; product of MAPT.
D016564,Amyloid beta-Protein Precursor,APP,APP holoprotein descriptor; product of APP.
D016229,Amyloid beta-Peptides,APP,Abeta peptides; proteolytic product of APP.
D051844,alpha-Synuclein,SNCA,alpha-synuclein descriptor; product of SNCA.
C000612345,"ApoE protein, human",APOE,"MeSH supplemental concept 'ApoE protein, human' declares gene APOE (unambiguous)."
C054369,"MAPT protein, human",MAPT,"MeSH supplemental concept 'MAPT protein, human' declares gene MAPT (unambiguous)."
C102582,"SORL1 protein, human",SORL1,"MeSH supplemental concept 'SORL1 protein, human' declares gene SORL1 (unambiguous)."
C498715,"TREM2 protein, human",TREM2,"MeSH supplemental concept 'TREM2 protein, human' declares gene TREM2 (unambiguous)."
C556915,"TMEM106B protein, human",TMEM106B,"MeSH supplemental concept 'TMEM106B protein, human' declares gene TMEM106B (unambiguous)."
C101410,"BIN1 protein, human",BIN1,"MeSH supplemental concept 'BIN1 protein, human' declares gene BIN1 (unambiguous)."
C411895,"ABCA7 protein, human",ABCA7,"MeSH supplemental concept 'ABCA7 protein, human' declares gene ABCA7 (unambiguous)."
C400783,"TOMM40 protein, human",TOMM40,"MeSH supplemental concept 'TOMM40 protein, human' declares gene TOMM40 (unambiguous)."
C571163,"CD33 protein, human",CD33,"MeSH supplemental concept 'CD33 protein, human' declares gene CD33 (unambiguous)."
C545487,"APP protein, human",APP,"MeSH supplemental concept 'APP protein, human' declares gene APP (unambiguous)."
C439003,"PICALM protein, human",PICALM,"MeSH supplemental concept 'PICALM protein, human' declares gene PICALM (unambiguous)."
C497604,"SNCA protein, human",SNCA,"MeSH supplemental concept 'SNCA protein, human' declares gene SNCA (unambiguous)."
C495242,"CLU protein, human",CLU,"MeSH supplemental concept 'CLU protein, human' declares gene CLU (unambiguous)."
C509991,"CR1 protein, human",CR1,"MeSH supplemental concept 'CR1 protein, human' declares gene CR1 (unambiguous)."
C000633564,"GBA protein, human",GBA,"MeSH supplemental concept 'GBA protein, human' declares gene GBA (unambiguous)."
C541989,"ABI3 protein, human",ABI3,"MeSH supplemental concept 'ABI3 protein, human' declares gene ABI3 (unambiguous)."
C505803,"APOC1 protein, human",APOC1,"MeSH supplemental concept 'APOC1 protein, human' declares gene APOC1 (unambiguous)."
C560487,"MOBP protein, human",MOBP,"MeSH supplemental concept 'MOBP protein, human' declares gene MOBP (unambiguous)."
C574492,"MS4A6A protein, human",MS4A6A,"MeSH supplemental concept 'MS4A6A protein, human' declares gene MS4A6A (unambiguous)."
C000708928,"PLCG2 protein, human",PLCG2,"MeSH supplemental concept 'PLCG2 protein, human' declares gene PLCG2 (unambiguous)."
C000717127,"RELN protein, human",RELN,"MeSH supplemental concept 'RELN protein, human' declares gene RELN (unambiguous)."
C577836,"ABCA1 protein, human",ABCA1,"MeSH supplemental concept 'ABCA1 protein, human' declares gene ABCA1 (unambiguous)."
C475155,"APH1B protein, human",APH1B,"MeSH supplemental concept 'APH1B protein, human' declares gene APH1B (unambiguous)."
C513597,"CNTNAP5 protein, human",CNTNAP5,"MeSH supplemental concept 'CNTNAP5 protein, human' declares gene CNTNAP5 (unambiguous)."
C490895,"GAB2 protein, human",GAB2,"MeSH supplemental concept 'GAB2 protein, human' declares gene GAB2 (unambiguous)."
C490611,"GNB5 protein, human",GNB5,"MeSH supplemental concept 'GNB5 protein, human' declares gene GNB5 (unambiguous)."
C508603,"IL6R protein, human",IL6R,"MeSH supplemental concept 'IL6R protein, human' declares gene IL6R (unambiguous)."
C000606430,"INPP5D protein, human",INPP5D,"MeSH supplemental concept 'INPP5D protein, human' declares gene INPP5D (unambiguous)."
C496552,"KAT8 protein, human",KAT8,"MeSH supplemental concept 'KAT8 protein, human' declares gene KAT8 (unambiguous)."
C476396,"LUZP2 protein, human",LUZP2,"MeSH supplemental concept 'LUZP2 protein, human' declares gene LUZP2 (unambiguous)."
C578040,"MEF2C protein, human",MEF2C,"MeSH supplemental concept 'MEF2C protein, human' declares gene MEF2C (unambiguous)."
C515491,"MGMT protein, human",MGMT,"MeSH supplemental concept 'MGMT protein, human' declares gene MGMT (unambiguous)."
C507122,"MMP12 protein, human",MMP12,"MeSH supplemental concept 'MMP12 protein, human' declares gene MMP12 (unambiguous)."
C485544,"NCK2 protein, human",NCK2,"MeSH supplemental concept 'NCK2 protein, human' declares gene NCK2 (unambiguous)."
C103547,"PTK2B protein, human",PTK2B,"MeSH supplemental concept 'PTK2B protein, human' declares gene PTK2B (unambiguous)."
C455479,"RBFOX1 protein, human",RBFOX1,"MeSH supplemental concept 'RBFOX1 protein, human' declares gene RBFOX1 (unambiguous)."
C487967,"RIN3 protein, human",RIN3,"MeSH supplemental concept 'RIN3 protein, human' declares gene RIN3 (unambiguous)."
C497230,"ST18 protein, human",ST18,"MeSH supplemental concept 'ST18 protein, human' declares gene ST18 (unambiguous)."
C000606896,"SYK protein, human",SYK,"MeSH supplemental concept 'SYK protein, human' declares gene SYK (unambiguous)."
C556849,"TSPAN14 protein, human",TSPAN14,"MeSH supplemental concept 'TSPAN14 protein, human' declares gene TSPAN14 (unambiguous)."
